模型参数 (Model Parameter),英文术语 (English Term),中文翻译 (Chinese Translation),别名 (Alias),说明 (Explanation)
Pulse (脉冲发生器),,,,(无盘存量)
pulseSource.amplitude,Pulse Amplitude,脉冲幅度,Tritium Consumption Rate (氚消耗率) / Source Strength,系统驱动：设定氚的消耗速率 (g/h)，并驱动包层增殖。
pulseSource.period,Pulse Period,运行周期,Cycle Time / Repetition Period,模拟“运行-停机”的总循环时长。
pulseSource.width,Duty Cycle,占空比,Burn Time Fraction,单个脉冲周期内维持等离子体燃烧的时间占比（%），用于衡量脉冲运行效率。
Blanket (增殖包层),,,,
blanket.I[1],Blanket Tritium Inventory,增殖包层氚盘存量,Breeding Zone Inventory / In-Vessel Inventory,增殖包层(Blanket)子部件的氚盘存量。
blanket.T,Blanket Mean Residence Time,增殖包层 平均滞留时间,Extraction Delay / Purge Gas Residence Time,增殖包层(Blanket)中氚的平均滞留时间，主要的库存贡献者之一。
blanket.decay_loss,Blanket Tritium Decay Loss,增殖包层 放射性衰变损失,Beta Decay / Half-life Loss,增殖包层(Blanket)中氚的物理衰变常数（半衰期12.3年）。
blanket.TBR,Blanket Tritium Breeding Ratio,增殖包层 氚增殖比,TBR_actual / Breeding Performance,增殖包层(Blanket)的氚增殖比，燃料自持的关键 (必须 > 1)。
blanket.to_CL_Fraction,Blanket Fraction to CL,增殖包层流向冷却剂回路 (CL) 的比例,Coolant Loop Permeation Fraction,渗透损失：氚从增殖包层(Blanket)渗透至冷却剂回路 (CL) 的比例。
blanket.to_TES_Fraction,Blanket Fraction to TES,增殖包层 输出到TES的比例,Extraction Efficiency / Recovery Fraction,主流路径：氚从增殖包层(Blanket)被成功提取的比例。
Coolant_Pipe (冷却剂管道),,,,
coolant_pipe.I[1],Coolant_Pipe Tritium Inventory,冷却剂管道氚盘存量,Primary Loop Inventory / HTO Holdup,冷却剂管道(Coolant_Pipe)子部件的氚盘存量。
coolant_pipe.T,Coolant_Pipe Mean Residence Time,冷却剂管道平均滞留时间,Loop Circulation Time,冷却剂在主回路(Coolant_Pipe)的循环时间，巨大的氚缓冲池。
coolant_pipe.decay_loss,Coolant_Pipe Tritium Decay Loss,冷却剂管道放射性衰变损失,-,冷却剂管道(Coolant_Pipe)中氚的物理衰变常数。
coolant_pipe.to_WDS_Fraction,Coolant_Pipe Fraction to WDS,冷却剂管道流向WDS的比例,Detritiation Feed Fraction / WDS Bypass Ratio,从冷却剂管道(Coolant_Pipe)送往水去氚系统的旁路流量。
coolant_pipe.to_CPS_Fraction,Coolant_Pipe Fraction to CPS,冷却剂管道流向CPS的比例,CPS Slipstream Fraction / Coolant Purification Bypass,从冷却剂管道(Coolant_Pipe)送往冷却剂净化系统的旁路流量。
coolant_pipe.to_FW_Fraction,Coolant_Pipe Fraction to FW,冷却剂管道流向FW的比例,First Wall Branch Ratio,从冷却剂管道(Coolant_Pipe)分配至第一壁的冷却剂流量。
CPS (冷却剂净化系统),,,,
cps.I[1],CPS Tritium Inventory,冷却剂净化系统氚盘存量,CPS Getter Bed Inventory / Hydride Bed Inventory,冷却剂净化系统(CPS)子部件的氚盘存量。
cps.T,CPS Mean Residence Time,冷却剂净化系统平均滞留时间,Processing Delay / Residence Time,冷却剂在冷却剂净化系统(CPS)的处理延迟，高库存部件。
cps.threshold,CPS Threshold,冷却剂净化系统铺底量,Minimum Hold-up / Bed Saturation Limit,冷却剂净化系统(CPS)启动运行所需的最小氚量。
cps.to_ISS_O_Fraction,CPS Fraction to ISS_O,冷却剂净化系统流向O_ISS的比例,Separation Efficiency,净化效率：冷却剂净化系统(CPS)回收氚占总处理量的比例。
cps.to_FW_Fraction,CPS Fraction to FW,冷却剂净化系统返回FW的比例,Recycle Ratio,从冷却剂净化系统(CPS)返回至第一壁的“清洁”冷却剂流量。
DIV (偏滤器),,,,
div.I[1],DIV Tritium Inventory,偏滤器,Divertor Retention / Trapped Inventory,偏滤器(DIV)子部件的氚盘存量。
div.T,DIV Mean Residence Time,偏滤器 平均滞留时间,Permeation Time Constant,氚在偏滤器(DIV)中从等离子体侧渗透到冷却剂侧的特征时间。
div.decay_loss,DIV Tritium Decay Loss,偏滤器 放射性衰变损失,-,偏滤器(DIV)中氚的物理衰变常数。
Fueling_System (燃料注入系统),,,,
FS.I[1],Fueling_System Tritium Inventory,燃料注入系统,Pellet Injector Inventory,燃料注入系统(Fueling_System)子部件的氚盘存量。
FS.T,Fueling_System Mean Residence Time,燃料注入系统 平均滞留时间,Injection Delay / Holdup Time,燃料在燃料注入系统(Fueling_System)注入前的滞留时间，充当一级缓冲器。
FS.decay_loss,Fueling_System Tritium Decay Loss,燃料注入系统 放射性衰变损失,-,燃料注入系统(Fueling_System)中氚的物理衰变常数。
FW (第一壁),,,,
fw.I[1],FW Tritium Inventory,第一壁,First Wall Retention / Wall Loading,第一壁(FW)子部件的氚盘存量。
fw.T,FW Mean Residence Time,第一壁 平均滞留时间,Wall Permeation Time,氚在第一壁(FW)中从等离子体侧渗透到冷却剂侧的特征时间。
fw.decay_loss,FW Tritium Decay Loss,第一壁 放射性衰变损失,-,第一壁(FW)中氚的物理衰变常数。
